COMUNIDAD|PAN|JUAN RODRIGUEZ VALDEZ|PRD|MARIA CRUZ MEDINA RAMIREZ|YARETH MADARI CASTILLO SOLIS|MIGUEL ANGEL SILVA RAMIREZ|ABRAHAM CASTRO TREJO|ANTONIA ROBLES AGUIRRE|MAZ|GUADALUPE XIMENA HERNANDEZ CASTRO|EDGAR MAURICIO LEYVA ROBLES|NO_REGISTRADOS|NULOS
Casa de Cerros|0|32.0883|0|1.35823|24.9576|18.6757|15.4499|0.339559|0|0.509338|1.52801|0|5.09338
Jesús María|0|49.0683|0|1.86335|16.7702|27.3292|3.72671|0|0|0|0|0|1.24224
La India|0|45.6067|0|1.25523|15.8996|15.4812|7.94979|0|0|0.41841|7.11297|0|6.27615
Llano Blanco Norte|0|43.9655|0|1.72414|21.2644|11.7816|12.931|0.287356|0|0.862069|0.862069|0|6.32184
Llano Blanco Sur|0|45.614|0|1.75439|15.7895|21.0526|5.26316|0|0|0|0|0|10.5263
Los Pozos|0|40.7821|0|2.51397|25.1397|21.5084|4.18994|0|0|1.39665|0|0|4.46927
Muleros|0|30|0|2.41379|31.7241|17.931|12.069|0.689655|0|1.03448|1.03448|0|3.10345
Pozo de Gamboa|0|67.3562|0|0.744725|6.45428|17.9975|2.56516|0|0|0.165494|0.165494|0|4.5511
Pánuco|0|35.3846|0|1.69231|26.6154|13.5385|16.3077|0|0|0.769231|0.153846|0|5.53846
San Antonio del Ciprés|0|34.3615|0|1.02814|26.6775|23.6472|8.171|0.270563|0|2.11039|0.324675|0.0541126|3.35498
San José de la Era|0|31.7308|0|2.88462|19.2308|0.961538|44.2308|0|0|0.961538|0|0|0
San Juan|0|28.5441|0|0.957854|21.2644|1.72414|43.6782|0|0|0.191571|0.191571|0|3.44828
